epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1320.31,0.69797,1.13171,1.31581,0.82096,0.72789,0.81828,0.70799,0.65633,0.93229,1.0312,1.54245,0.0092476,0.0092476,0.0092476
78,1337.42,0.70447,1.10853,1.31601,0.69779,0.72261,0.79132,0.69807,0.63977,0.93994,1.19241,1.5398,0.0092377,0.0092377,0.0092377
79,1354.73,0.69652,1.09909,1.31218,0.75075,0.6836,0.71141,0.60877,0.56232,0.9624,1.3024,1.50278,0.0092278,0.0092278,0.0092278
80,1372.31,0.69443,1.10435,1.29933,0.76091,0.74443,0.80579,0.68901,0.63977,0.97628,1.1147,1.51256,0.0092179,0.0092179,0.0092179
81,1389.56,0.69411,1.1012,1.3038,0.6703,0.78611,0.81164,0.71052,0.65344,0.93926,1.1445,1.55301,0.009208,0.009208,0.009208
82,1406.52,0.72179,1.09983,1.32284,0.77193,0.79765,0.83026,0.69788,0.65726,0.97744,0.99396,1.58491,0.0091981,0.0091981,0.0091981
83,1423.69,0.6892,1.07013,1.30599,0.70857,0.72979,0.76091,0.64219,0.61494,0.92494,1.24141,1.50119,0.0091882,0.0091882,0.0091882
84,1440.56,0.67673,1.08005,1.29013,0.72502,0.82124,0.84148,0.74198,0.68783,0.88016,0.96692,1.4219,0.0091783,0.0091783,0.0091783
85,1457.62,0.64971,1.06639,1.27057,0.76698,0.76449,0.82256,0.68945,0.66208,0.92032,1.04039,1.48789,0.0091684,0.0091684,0.0091684
86,1474.55,0.66158,1.06502,1.27794,0.75569,0.73877,0.78246,0.64521,0.61581,0.99456,1.05828,1.57852,0.0091585,0.0091585,0.0091585
87,1491.4,0.67542,1.06165,1.29146,0.70901,0.73691,0.79359,0.69092,0.63996,0.88818,1.03068,1.46886,0.0091486,0.0091486,0.0091486
88,1508.38,0.66854,1.06525,1.28142,0.83228,0.71892,0.83832,0.74329,0.69066,0.86414,1.03283,1.4389,0.0091387,0.0091387,0.0091387
89,1525.24,0.65653,1.03686,1.27688,0.81025,0.71029,0.83645,0.72203,0.67588,0.9194,1.03389,1.47655,0.0091288,0.0091288,0.0091288
90,1542.2,0.68509,1.06259,1.2888,0.67178,0.78809,0.77475,0.68052,0.63069,0.89436,1.09963,1.46663,0.0091189,0.0091189,0.0091189
91,1559.29,0.65615,1.04178,1.2856,0.72459,0.77862,0.79563,0.67552,0.64217,0.90684,0.96804,1.47431,0.009109,0.009109,0.009109
92,1575.94,0.66274,1.07959,1.27622,0.80625,0.74073,0.81581,0.69407,0.64937,0.91461,1.11293,1.49661,0.0090991,0.0090991,0.0090991
93,1592.61,0.64549,1.0683,1.2699,0.75184,0.77418,0.82339,0.71294,0.67335,0.89608,1.06834,1.45898,0.0090892,0.0090892,0.0090892
94,1609.25,0.6726,1.0111,1.2925,0.79904,0.80644,0.86461,0.76652,0.71083,0.8602,0.93272,1.44293,0.0090793,0.0090793,0.0090793
