epoch,total_loss,loss_change,loss_smooth
65,3.2485999999999997,-0.08120000000000038,3.31297
66,3.26039,0.011790000000000411,3.291298
67,3.16318,-0.09721000000000002,3.2601260000000005
68,3.1913400000000003,0.028160000000000185,3.238662
69,3.2431200000000002,0.05177999999999994,3.221326
70,3.2533,0.010179999999999634,3.2222660000000003
71,3.21177,-0.041529999999999845,3.212542
72,3.26545,0.05367999999999995,3.232996
73,3.14027,-0.12517999999999985,3.222782
74,3.17504,0.03476999999999997,3.2091659999999997
75,3.14414,-0.030899999999999928,3.187334
76,3.14474,0.0005999999999999339,3.173928
77,3.1454899999999997,0.0007499999999995843,3.149936
78,3.12901,-0.016479999999999606,3.147684
79,3.1077899999999996,-0.02122000000000046,3.1342339999999997
80,3.09811,-0.009679999999999467,3.125028
81,3.09911,0.0009999999999998899,3.1159019999999997
82,3.1444600000000005,0.045350000000000446,3.115696
83,3.06532,-0.07914000000000065,3.102958
84,3.04691,-0.018409999999999815,3.090782
85,2.98667,-0.06023999999999985,3.0684940000000003
86,3.00454,0.01786999999999983,3.0495799999999997
87,3.02853,0.023989999999999956,3.026394
88,3.0152099999999997,-0.01332000000000022,3.0163719999999996
89,2.97027,-0.044939999999999536,3.0010440000000003
90,3.03648,0.06620999999999988,3.011006
91,2.98353,-0.05295000000000005,3.006804
92,3.01855,0.03501999999999983,3.0048079999999997
93,2.98369,-0.03485999999999967,2.998504
94,2.9762,-0.007490000000000219,2.9996899999999997
95,2.94768,-0.02851999999999988,2.9819299999999997
96,2.9531800000000006,0.0055000000000005045,2.97586
97,2.96165,0.008469999999999533,2.9644800000000004
98,2.93959,-0.02206000000000019,2.95566
99,2.91602,-0.02356999999999987,2.943624
100,2.9019,-0.014120000000000132,2.9344680000000003
101,2.89635,-0.005549999999999944,2.923102
102,2.86419,-0.03216000000000019,2.9036099999999996
103,2.94008,0.07589000000000024,2.903708
104,2.91604,-0.02403999999999984,2.9037119999999996
105,2.88869,-0.027350000000000207,2.90107
106,2.9099399999999997,0.02124999999999977,2.9037879999999996
107,2.82117,-0.0887699999999998,2.895184
108,2.8488100000000003,0.02764000000000033,2.87693
109,2.85141,0.0025999999999997137,2.864004
110,2.93065,0.07923999999999998,2.8723959999999997
111,2.81945,-0.11120000000000019,2.854298
112,2.89454,0.07509000000000032,2.8689720000000003
113,2.7819399999999996,-0.11260000000000048,2.8555979999999996
114,2.8274299999999997,0.04549000000000003,2.850802
115,2.83171,0.004280000000000506,2.831014
116,2.80097,-0.03074000000000021,2.827318
117,2.73512,-0.06584999999999974,2.7954339999999998
118,2.79852,0.06339999999999968,2.79875
119,2.79369,-0.004830000000000112,2.792002
120,2.7362400000000004,-0.057449999999999335,2.772908
121,2.83807,0.10182999999999964,2.780328
122,2.7903000000000002,-0.04776999999999987,2.791364
123,2.8061100000000003,0.015810000000000102,2.792882
124,2.73513,-0.07098000000000049,2.7811700000000004
125,2.7591799999999997,0.024049999999999905,2.785758
126,2.72586,-0.033319999999999794,2.763316
127,2.75547,0.029609999999999914,2.75635
128,2.74053,-0.014939999999999731,2.743234
129,2.7515300000000003,0.01100000000000012,2.746514
130,2.81664,0.06510999999999978,2.758006
131,2.7053399999999996,-0.1113000000000004,2.753902
132,2.7236700000000003,0.018330000000000624,2.747542
